"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"118","WELL AT VILLAGE HARCHANDPUR, VERY NEAR, BHIWADI TO BHIWADI
INDUSTRIAL AREA, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.2,1160,1.8,3.2,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"119","WELL AT VILLAGE BHIWADI , VERY NEAR, BHIWADI TO BHIWADI INDUSTRIAL AREA,
BHIWADI","RAJASTHAN","GROUNDWATER",27,7.4,1770,2.1,2.1,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"120","WELL AT VILLAGE GATTAL, NEAR, BHIWADI TO BHIWADI
INDUSTRIAL AREA, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.2,1350,1.3,1.7,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"121","HAND PUMP NEAR SECONDARY SCHOOL ABOUT 300MT. FROM KANSUA
NALLAH KOTA","RAJASTHAN","GROUNDWATER",27,7.8,1270,1.7,1,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"122","CHAUDHARY KA WELL VILLAGE PANIALA, KOTAPUTALI NEAR ASSOCIATED ALCOHOL
BREVERIES LTD JAIPUR","RAJASTHAN","GROUNDWATER",27,7.8,1530,1.1,2.3,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"123","PHED WELL NEAR RAILWAY
LINE JHOTAWARA, JAIPUR","RAJASTHAN","GROUNDWATER",27,7.6,650,1.1,1.1,4,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"124","HAND PUMP OF VIDHANI VILLAGE GONER ROAD
JAIPUR","RAJASTHAN","GROUNDWATER",25,7.5,4000,1.2,11,3,3,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2
"125","WELL OF GOOJARON KI TALAI, MOHANA ROAD
SANGANER JAIPUR","RAJASTHAN","GROUNDWATER",27,8.1,350,1,2.3,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"126","PUBLIC HAND PUMP BEFORE
SANGANER PULIA","RAJASTHAN","GROUNDWATER",28,6.9,1800,1.4,3,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
"127","PABUPURA ROAD NEAR CIVIL AIR PORT, JODHPUR
(MANGILAL RATHOR)","RAJASTHAN","GROUNDWATER",27,7.1,3600,1.8,3.7,3,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8
